"year","experiment","source","rep","date","time","location","habitat","taxa","species","initials","doi"
2021,"bioblitz","full",34,2021-10-13,13:28:00,"Derrydown park","grass","Invertebrate","Pieris rapae","DM","10.6084/m9.figshare.16800004"
2021,"bioblitz","full",35,2021-10-13,13:29:00,"Derrydown park","grass","Invertebrate","Hulecoeteomyia japonica","DM","10.6084/m9.figshare.16800004"
2021,"bioblitz","full",36,2021-10-13,13:38:00,"Derrydown park","grass","Vertebrate","Sciurus carolinensis","DM","10.6084/m9.figshare.16800004"
2021,"bioblitz","full",37,2021-10-13,13:53:00,"Derrydown park","tree","Vertebrate","Cyanocitta cristata","DM","10.6084/m9.figshare.16800004"
2021,"bioblitz","full",38,2021-10-13,13:54:00,"Derrydown park","woodlot","Vertebrate","Sciurus carolinensis","DM","10.6084/m9.figshare.16800004"
2021,"bioblitz","full",39,2021-10-13,13:59:00,"Derrydown park","grass","Vertebrate","Sciurus carolinensis","DM","10.6084/m9.figshare.16800004"
2021,"bioblitz","full",40,2021-10-13,14:05:00,"Derrydown park","tree","Vertebrate","Melospiza lincolnii","DM","10.6084/m9.figshare.16800004"
2021,"bioblitz","full",1,2021-10-11,10:30:00,"Driftwood park","grass","Vertebrate","Sciurus carolinensis","DM","10.6084/m9.figshare.16800004"
2021,"bioblitz","full",2,2021-10-11,10:37:00,"Driftwood park","grass","Vertebrate","Sciurus carolinensis","DM","10.6084/m9.figshare.16800004"
2021,"bioblitz","full",3,2021-10-11,10:44:00,"Driftwood park","tree","Vertebrate","Sciurus carolinensis","DM","10.6084/m9.figshare.16800004"
2021,"bioblitz","full",4,2021-10-11,10:47:00,"Driftwood park","tree","Vertebrate","Mimus polyglottos","DM","10.6084/m9.figshare.16800004"
2021,"bioblitz","full",5,2021-10-11,10:51:00,"Driftwood park","grass","Invertebrate","Vespula germanica","DM","10.6084/m9.figshare.16800004"
2021,"bioblitz","full",6,2021-10-11,10:52:00,"Driftwood park","grass","Vertebrate","Sciurus carolinensis","DM","10.6084/m9.figshare.16800004"
2021,"bioblitz","full",7,2021-10-11,11:05:00,"Driftwood park","tree","Vertebrate","Agelaius phoeniceus","DM","10.6084/m9.figshare.16800004"
2021,"bioblitz","full",8,2021-10-11,11:06:00,"Driftwood park","tree","Vertebrate","Spizella passerina","DM","10.6084/m9.figshare.16800004"
2021,"bioblitz","full",9,2021-10-11,11:10:00,"Driftwood park","grass","Invertebrate","Musca domestica","DM","10.6084/m9.figshare.16800004"
2021,"bioblitz","full",10,2021-10-11,11:16:00,"Driftwood park","tree","Vertebrate","Zonotrichia leucophrys","DM","10.6084/m9.figshare.16800004"
2021,"bioblitz","full",11,2021-10-11,11:21:00,"Driftwood park","lightpost","Invertebrate","Cepaea nemoralis","DM","10.6084/m9.figshare.16800004"
2021,"bioblitz","full",12,2021-10-11,11:24:00,"Driftwood park","grass","Invertebrate","Colias eurytheme","DM","10.6084/m9.figshare.16800004"
2021,"bioblitz","full",13,2021-10-11,11:27:00,"Driftwood park","grass","Invertebrate","Colias philodice","DM","10.6084/m9.figshare.16800004"
2021,"bioblitz","full",14,2021-10-11,11:32:00,"Driftwood park","grass","Invertebrate","Tipulidae","DM","10.6084/m9.figshare.16800004"
2021,"bioblitz","full",54,2021-10-17,10:48:00,"G Ross Lord park","tree","Vertebrate","Mimus polyglottos","DM","10.6084/m9.figshare.16800004"
2021,"bioblitz","full",55,2021-10-17,10:58:00,"G Ross Lord park","grass","Invertebrate","Calliphora vomitoria","DM","10.6084/m9.figshare.16800004"
2021,"bioblitz","full",56,2021-10-17,11:00:00,"G Ross Lord park","tree","Vertebrate","Sciurus carolinensis","DM","10.6084/m9.figshare.16800004"
2021,"bioblitz","full",57,2021-10-17,11:01:00,"G Ross Lord park","grass","Invertebrate","Sympetrum vicinum","DM","10.6084/m9.figshare.16800004"
2021,"bioblitz","full",58,2021-10-17,11:03:00,"G Ross Lord park","grass","Invertebrate","Tipulidae","DM","10.6084/m9.figshare.16800004"
2021,"bioblitz","full",59,2021-10-17,11:05:00,"G Ross Lord park","tree","Vertebrate","Sciurus carolinensis","DM","10.6084/m9.figshare.16800004"
2021,"bioblitz","full",60,2021-10-17,11:17:00,"G Ross Lord park","grass","Vertebrate","Sciurus carolinensis","DM","10.6084/m9.figshare.16800004"
2021,"bioblitz","full",61,2021-10-17,11:20:00,"G Ross Lord park","grass","Invertebrate","Bombus impatiens","DM","10.6084/m9.figshare.16800004"
2021,"bioblitz","full",62,2021-10-17,11:30:00,"G Ross Lord park","grass","Invertebrate","Tipulidae","DM","10.6084/m9.figshare.16800004"
2021,"bioblitz","full",63,2021-10-17,11:41:00,"G Ross Lord park","grass","Invertebrate","Musca domestica","DM","10.6084/m9.figshare.16800004"
2021,"bioblitz","full",64,2021-10-17,11:47:00,"G Ross Lord park","grass","Invertebrate","Sympetrum rubicundulum","DM","10.6084/m9.figshare.16800004"
2021,"bioblitz","full",65,2021-10-17,11:53:00,"G Ross Lord park","grass","Invertebrate","Pieris rapae","DM","10.6084/m9.figshare.16800004"
2021,"bioblitz","full",47,2021-10-14,12:42:00,"Northwood park","tree","Vertebrate","Cyanocitta cristata","DM","10.6084/m9.figshare.16800004"
2021,"bioblitz","full",48,2021-10-14,12:52:00,"Northwood park","woodlot","Vertebrate","Sciurus carolinensis","DM","10.6084/m9.figshare.16800004"
2021,"bioblitz","full",49,2021-10-14,13:03:00,"Northwood park","woodlot","Vertebrate","Sciurus carolinensis","DM","10.6084/m9.figshare.16800004"
2021,"bioblitz","full",50,2021-10-14,13:04:00,"Northwood park","woodlot","Vertebrate","Spizella passerina","DM","10.6084/m9.figshare.16800004"
2021,"bioblitz","full",51,2021-10-14,13:10:00,"Northwood park","woodlot","Vertebrate","Sciurus carolinensis","DM","10.6084/m9.figshare.16800004"
2021,"bioblitz","full",52,2021-10-14,13:13:00,"Northwood park","tree","Invertebrate","Vespula germanica","DM","10.6084/m9.figshare.16800004"
2021,"bioblitz","full",53,2021-10-14,13:17:00,"Northwood park","woodlot","Vertebrate","Accipiter striatus","DM","10.6084/m9.figshare.16800004"
2021,"bioblitz","full",66,2021-10-17,12:50:00,"Robert hicks park","grass","Invertebrate","Vespula germanica","DM","10.6084/m9.figshare.16800004"
2021,"bioblitz","full",67,2021-10-17,13:00:00,"Robert hicks park","tree","Vertebrate","Spizella passerina","DM","10.6084/m9.figshare.16800004"
2021,"bioblitz","full",68,2021-10-17,13:10:00,"Robert hicks park","grass","Invertebrate","Megachile latimanus","DM","10.6084/m9.figshare.16800004"
2021,"bioblitz","full",69,2021-10-17,13:16:00,"Robert hicks park","tree","Vertebrate","Catharus guttatus","DM","10.6084/m9.figshare.16800004"
2021,"bioblitz","full",70,2021-10-17,13:27:00,"Robert hicks park","tree","Vertebrate","Sciurus carolinensis","DM","10.6084/m9.figshare.16800004"
2021,"bioblitz","full",41,2021-10-14,10:30:00,"Topcliff park","grass","Vertebrate","Sciurus carolinensis","DM","10.6084/m9.figshare.16800004"
2021,"bioblitz","full",42,2021-10-14,10:36:00,"Topcliff park","grass","Vertebrate","Sciurus carolinensis","DM","10.6084/m9.figshare.16800004"
2021,"bioblitz","full",43,2021-10-14,10:53:00,"Topcliff park","grass","Invertebrate","Tipulidae","DM","10.6084/m9.figshare.16800004"
2021,"bioblitz","full",44,2021-10-14,11:05:00,"Topcliff park","grass","Vertebrate","Sciurus carolinensis","DM","10.6084/m9.figshare.16800004"
2021,"bioblitz","full",45,2021-10-14,11:12:00,"Topcliff park","grass","Invertebrate","Culicinae","DM","10.6084/m9.figshare.16800004"
2021,"bioblitz","full",46,2021-10-14,11:21:00,"Topcliff park","grass","Vertebrate","Sciurus carolinensis","DM","10.6084/m9.figshare.16800004"
2021,"bioblitz","full",1,2021-10-10,10:00:00,"Centennial Park, Milton, ON","woodlot","Mammalia","Tamias striatus","EM",NA
2021,"bioblitz","full",2,2021-10-10,10:15:00,"Centennial Park, Milton, ON","woodlot","Mammalia","Sciurus carolinensis","EM",NA
2021,"bioblitz","full",3,2021-10-10,11:00:00,"Centennial Park, Milton, ON","woodlot","Agaricomycetes","schnoderma resinosum","EM",NA
2021,"bioblitz","full",5,2021-10-10,11:00:00,"Centennial Park, Milton, ON","woodlot","Amphibia","Hyla versicolor","EM",NA
2021,"bioblitz","full",6,2021-10-10,11:45:00,"Centennial Park, Milton, ON","woodlot","Mammalia","Sciurus carolinensis","EM",NA
2021,"bioblitz","full",7,2021-10-10,11:50:00,"Centennial Park, Milton, ON","water","Amphibia","Rana clamitans","EM",NA
2021,"bioblitz","full",8,2021-10-10,11:55:00,"Centennial Park, Milton, ON","water","Aves","Anas platyrhynchos","EM",NA
2021,"bioblitz","full",9,2021-10-10,11:55:00,"Centennial Park, Milton, ON","water","Actinopterygii","Opsopoeodus emiliae","EM",NA
2021,"bioblitz","full",10,2021-10-10,12:15:00,"Centennial Park, Milton, ON","water","Insecta","Gerridae","EM",NA
2021,"bioblitz","full",11,2021-10-10,12:15:00,"Centennial Park, Milton, ON","woodlot","Insecta","Bombus impatiens","EM",NA
2021,"bioblitz","full",12,2021-10-10,12:30:00,"Centennial Park, Milton, ON","woodlot","Insecta","Culicidae","EM",NA
2021,"bioblitz","full",14,2021-10-10,13:10:00,"Centennial Park, Milton, ON","woodlot","Agaricomycetes","Armillaria","EM",NA
2021,"bioblitz","full",15,2021-10-10,13:10:00,"Centennial Park, Milton, ON","woodlot","Gastropod","Arion hortensis","EM",NA
2021,"bioblitz","full",16,2021-10-10,13:30:00,"Centennial Park, Milton, ON","woodlot","Insecta","Tetramorium caespitum L","EM",NA
2021,"bioblitz","full",17,2021-10-10,14:00:00,"Centennial Park, Milton, ON","woodlot","Agaricomycetes","Trametes versicolor","EM",NA
2021,"bioblitz","full",18,2021-10-10,14:00:00,"Centennial Park, Milton, ON","woodlot","Arachnida","Pholcidae","EM",NA
2021,"bioblitz","full",19,2021-10-10,14:00:00,"Centennial Park, Milton, ON","woodlot","Agaricomycetes","Mycena haematopus","EM",NA
2021,"bioblitz","full",20,2021-10-10,14:15:00,"Centennial Park, Milton, ON","woodlot","Agaricomycetes","Ductifera pululahuana","EM",NA
2021,"bioblitz","full",21,2021-10-10,14:30:00,"Centennial Park, Milton, ON","woodlot","Agaricomycetes","Hygrocybe chlorophana","EM",NA
2021,"bioblitz","full",22,2021-10-10,14:30:00,"Centennial Park, Milton, ON","woodlot","Agaricomycetes","Pleurotus pulmonarius","EM",NA
2021,"bioblitz","full",23,2021-10-10,14:30:00,"Centennial Park, Milton, ON","woodlot","Malacostraca","Armadillidium vulgare","EM",NA
2021,"bioblitz","full",1,2021-10-02,12:00:00,"North York, ON","grass","insecta","Katydid","LN",NA
2021,"bioblitz","full",1,2021-10-02,12:00:00,"North York, ON","grass","aves","Laridae","LN",NA
2021,"bioblitz","full",1,2021-10-02,12:00:00,"North York, ON","grass","insecta","Pieris rapae","LN",NA
2021,"bioblitz","full",1,2021-10-02,13:05:00,"North York, ON","park","malacostraca","Armadillidium","LN",NA
2021,"bioblitz","full",1,2021-10-02,13:05:00,"North York, ON","park","insecta","Carabidae","LN",NA
2021,"bioblitz","full",1,2021-10-02,14:15:00,"North York, ON","park","insecta","Harmonia","LN",NA
2021,"bioblitz","full",1,2021-10-02,13:05:00,"North York, ON","park","aves","Laridae","LN",NA
2021,"bioblitz","full",1,2021-10-02,13:05:00,"North York, ON","park","insecta","Pieris rapae","LN",NA
2021,"bioblitz","full",1,2021-10-02,13:05:00,"North York, ON","park","mammalia","Sciurus carolinensis","LN",NA
2021,"bioblitz","full",1,2021-10-02,14:15:00,"North York, ON","park","mammalia","Sciurus carolinensis","LN",NA
2021,"bioblitz","full",1,2021-10-08,13:00:00,"North York, ON","grass","insecta","Pieris rapae","LN",NA
2021,"bioblitz","full",1,2021-10-08,14:30:00,"North York, ON","park","insecta","Popillia japonica","LN",NA
2021,"bioblitz","full",2,2021-09-27,11:15:00,"North York, ON","grass","aves","Laridae","LN",NA
2021,"bioblitz","full",2,2021-09-27,13:30:00,"North York, ON","park","aves","Laridae","LN",NA
2021,"bioblitz","full",2,2021-09-27,15:00:00,"North York, ON","park","aves","Laridae","LN",NA
2021,"bioblitz","full",2,2021-09-27,13:30:00,"North York, ON","park","insecta","Polistes fuscatus","LN",NA
2021,"bioblitz","full",2,2021-09-27,13:30:00,"North York, ON","park","mammalia","Sciurus carolinensis","LN",NA
2021,"bioblitz","full",2,2021-10-02,12:00:00,"North York, ON","grass","insecta","Femurrubrum","LN",NA
2021,"bioblitz","full",2,2021-10-02,13:05:00,"North York, ON","park","aves","Passer domesticus","LN",NA
2021,"bioblitz","full",2,2021-10-02,14:15:00,"North York, ON","park","aves","Passer domesticus","LN",NA
2021,"bioblitz","full",2,2021-10-02,13:05:00,"North York, ON","park","insecta","Tetramorium immigrans","LN",NA
2021,"bioblitz","full",2,2021-10-08,14:30:00,"North York, ON","park","mammalia","Sciurus carolinensis","LN",NA
2021,"bioblitz","full",2,2021-10-08,15:45:00,"North York, ON","park","mammalia","Sciurus carolinensis","LN",NA
2021,"bioblitz","full",3,2021-09-27,11:15:00,"North York, ON","grass","insecta","Pieris rapae","LN",NA
2021,"bioblitz","full",3,2021-09-27,13:30:00,"North York, ON","park","aves","Passer domesticus","LN",NA
2021,"bioblitz","full",3,2021-09-27,15:00:00,"North York, ON","park","mammalia","Sciurus carolinensis","LN",NA
2021,"bioblitz","full",3,2021-10-02,12:00:00,"North York, ON","grass","insecta","Allonemobis","LN",NA
2021,"bioblitz","full",3,2021-10-02,12:00:00,"North York, ON","grass","insecta","Tetramorium immigrans","LN",NA
2021,"bioblitz","full",3,2021-10-02,14:15:00,"North York, ON","park","aves","Laridae","LN",NA
2021,"bioblitz","full",3,2021-10-08,14:30:00,"North York, ON","park","malacostraca","Armadillidium","LN",NA
2021,"bioblitz","full",3,2021-10-08,15:45:00,"North York, ON","park","aves","Laridae","LN",NA
2021,"bioblitz","full",3,2021-10-08,14:30:00,"North York, ON","park","insecta","Musca domestica","LN",NA
2021,"bioblitz","full",4,2021-09-27,13:30:00,"North York, ON","park","insecta","Tetramorium immigrans","LN",NA
2021,"bioblitz","full",4,2021-10-08,13:00:00,"North York, ON","grass","insecta","Femurrubrum","LN",NA
2021,"bioblitz","full",4,2021-10-08,13:00:00,"North York, ON","grass","aves","Laridae","LN",NA
2021,"bioblitz","full",4,2021-10-08,14:30:00,"North York, ON","park","insecta","Polistes fuscatus","LN",NA
2021,"bioblitz","full",5,2021-09-27,11:15:00,"North York, ON","grass","insecta","Allonemobis","LN",NA
2021,"bioblitz","full",5,2021-09-27,11:15:00,"North York, ON","grass","insecta","Tetramorium immigrans","LN",NA
2021,"bioblitz","full",5,2021-09-27,15:00:00,"North York, ON","park","aves","Passer domesticus","LN",NA
2021,"bioblitz","full",5,2021-10-08,14:30:00,"North York, ON","park","aves","Passer domesticus","LN",NA
2021,"bioblitz","full",5,2021-10-08,15:45:00,"North York, ON","park","aves","Passer domesticus","LN",NA
2021,"bioblitz","full",6,2021-10-08,13:00:00,"North York, ON","grass","insecta","Tetramorium immigrans","LN",NA
2021,"bioblitz","full",8,2021-10-08,14:30:00,"North York, ON","park","aves","Laridae","LN",NA
2021,"bioblitz","full",9,2021-09-27,11:15:00,"North York, ON","grass","insecta","Femurrubrum","LN",NA
2021,"bioblitz","full",NA,NA,NA,"Nam Vien park 1",NA,NA,"Ixora coccinea","ND",NA
2021,"bioblitz","full",NA,NA,NA,"Nam Vien park 1",NA,NA,"Ixora coccinea","ND",NA
2021,"bioblitz","full",NA,NA,NA,"Nam Vien park 1",NA,NA,"Ixora coccinea","ND",NA
2021,"bioblitz","full",NA,NA,NA,"Nam Vien park 1",NA,NA,"Rueilla simplex","ND",NA
2021,"bioblitz","full",NA,NA,NA,"Nam Vien park 1",NA,NA,"Rueilla simplex","ND",NA
2021,"bioblitz","full",NA,NA,NA,"Nam Vien park 1",NA,NA,"Rueilla simplex","ND",NA
2021,"bioblitz","full",NA,NA,NA,"Nam Vien park 1",NA,NA,"Rueilla simplex","ND",NA
2021,"bioblitz","full",NA,NA,NA,"Nam Vien park 1",NA,NA,"Rueilla simplex","ND",NA
2021,"bioblitz","full",NA,NA,NA,"Nam Vien park 1",NA,NA,"Sphagneticola trilobata","ND",NA
2021,"bioblitz","full",NA,NA,NA,"Nam Vien park 1",NA,NA,"Sphagneticola trilobata","ND",NA
2021,"bioblitz","full",NA,NA,NA,"Nam Vien park 1",NA,NA,"Sphagneticola trilobata","ND",NA
2021,"bioblitz","full",NA,NA,NA,"Nam Vien park 2",NA,NA,"Ixora coccinea","ND",NA
2021,"bioblitz","full",NA,NA,NA,"Nam Vien park 2",NA,NA,"Rueilla simplex","ND",NA
2021,"bioblitz","full",NA,NA,NA,"Nam Vien park 2",NA,NA,"Rueilla simplex","ND",NA
2021,"bioblitz","full",NA,NA,NA,"Nam Vien park 3",NA,NA,"Echinodorus cordifolius","ND",NA
2021,"bioblitz","full",NA,NA,NA,"Nam Vien park 3",NA,NA,"Echinodorus cordifolius","ND",NA
2021,"bioblitz","full",NA,NA,NA,"Nam Vien park 3",NA,NA,"Echinodorus cordifolius","ND",NA
2021,"bioblitz","full",NA,NA,NA,"Nam Vien park 3",NA,NA,"Echinodorus cordifolius","ND",NA
2021,"bioblitz","full",NA,NA,NA,"Nam Vien park 3",NA,NA,"Echinodorus cordifolius","ND",NA
2021,"bioblitz","full",NA,NA,NA,"Nam Vien park 3",NA,NA,"Echinodorus cordifolius","ND",NA
2021,"bioblitz","full",NA,NA,NA,"Nam Vien park 3",NA,NA,"Rueilla simplex","ND",NA
2021,"bioblitz","full",NA,NA,NA,"Nam Vien park 3",NA,NA,"Sphagneticola trilobata","ND",NA
2021,"bioblitz","full",NA,NA,NA,"Nam Vien park 3",NA,NA,"Sphagneticola trilobata","ND",NA
2021,"bioblitz","full",1,2021-10-10,15:03:00,"Millpond Park, Elgin Mills, Richmond Hill, ON","flying","Invertebrate","Apis mellifera","RA","10.6084/m9.figshare.16807219"
2021,"bioblitz","full",2,2021-10-10,15:05:00,"Millpond Park, Elgin Mills, Richmond Hill, ON","tree","Vertebrate","Sciurus spp","RA","10.6084/m9.figshare.16807219"
2021,"bioblitz","full",3,2021-10-10,15:08:00,"Millpond Park, Elgin Mills, Richmond Hill, ON","flying","Vertebrate","Corvus brachyrhynchos","RA","10.6084/m9.figshare.16807219"
2021,"bioblitz","full",4,2021-10-10,15:09:00,"Millpond Park, Elgin Mills, Richmond Hill, ON","flying","Invertebrate","Culicidae","RA","10.6084/m9.figshare.16807219"
2021,"bioblitz","full",5,2021-10-10,15:14:00,"Millpond Park, Elgin Mills, Richmond Hill, ON","water","Vertebrate","Sylviagus floridanus","RA","10.6084/m9.figshare.16807219"
2021,"bioblitz","full",6,2021-10-10,15:15:00,"Millpond Park, Elgin Mills, Richmond Hill, ON","water","Invertebrate","Formicidae","RA","10.6084/m9.figshare.16807219"
2021,"bioblitz","full",7,2021-10-10,15:17:00,"Millpond Park, Elgin Mills, Richmond Hill, ON","water","Vertebrate","Tamias striatus","RA","10.6084/m9.figshare.16807219"
2021,"bioblitz","full",8,2021-10-10,15:22:00,"Millpond Park, Elgin Mills, Richmond Hill, ON","water","Vertebrate","Procyon lotor","RA","10.6084/m9.figshare.16807219"
2021,"bioblitz","full",9,2021-10-10,15:25:00,"Millpond Park, Elgin Mills, Richmond Hill, ON","bush","Invertebrate","Lumbricina","RA","10.6084/m9.figshare.16807219"
2021,"bioblitz","full",10,2021-10-10,15:27:00,"Millpond Park, Elgin Mills, Richmond Hill, ON","flying","Invertebrate","Lepidoptera","RA","10.6084/m9.figshare.16807219"
2021,"bioblitz","full",11,2021-10-10,15:28:00,"Millpond Park, Elgin Mills, Richmond Hill, ON","bush","Invertebrate","Acridomorpha","RA","10.6084/m9.figshare.16807219"
2021,"bioblitz","full",12,2021-10-10,15:30:00,"Millpond Park, Elgin Mills, Richmond Hill, ON","bush","Invertebrate","Coccinellidae","RA","10.6084/m9.figshare.16807219"
2021,"bioblitz","full",13,2021-10-10,15:35:00,"Millpond Park, Elgin Mills, Richmond Hill, ON","water","Invertebrate","Armadillidiidae","RA","10.6084/m9.figshare.16807219"
2021,"bioblitz","full",14,2021-10-10,15:36:00,"Millpond Park, Elgin Mills, Richmond Hill, ON","water","Vertebrate","Larus delawarensis","RA","10.6084/m9.figshare.16807219"
2021,"bioblitz","full",15,2021-10-10,15:40:00,"Millpond Park, Elgin Mills, Richmond Hill, ON","water","Vertebrate","Testudines","RA","10.6084/m9.figshare.16807219"
2021,"bioblitz","full",16,2021-10-10,15:41:00,"Millpond Park, Elgin Mills, Richmond Hill, ON","flying","Vertebrate","Cyanocitta cristata","RA","10.6084/m9.figshare.16807219"
2021,"bioblitz","full",17,2021-10-10,15:43:00,"Millpond Park, Elgin Mills, Richmond Hill, ON","water","Invertebrate","Coleoptera","RA","10.6084/m9.figshare.16807219"
2021,"bioblitz","full",18,2021-10-10,15:44:00,"Millpond Park, Elgin Mills, Richmond Hill, ON","water","Vertebrate","Anura","RA","10.6084/m9.figshare.16807219"
2021,"bioblitz","full",19,2021-10-10,15:45:00,"Millpond Park, Elgin Mills, Richmond Hill, ON","flying","Invertebrate","Anisoptera","RA","10.6084/m9.figshare.16807219"
2021,"bioblitz","full",20,2021-10-10,15:46:00,"Millpond Park, Elgin Mills, Richmond Hill, ON","water","Vertebrate","Branta canadensis","RA","10.6084/m9.figshare.16807219"
2021,"bioblitz","full",21,2021-10-10,15:47:00,"Millpond Park, Elgin Mills, Richmond Hill, ON","flying","Vertebrate","Passer sp","RA","10.6084/m9.figshare.16807219"
2021,"bioblitz","full",22,2021-10-10,15:50:00,"Millpond Park, Elgin Mills, Richmond Hill, ON","water","Vertebrae","Castor canadensis","RA","10.6084/m9.figshare.16807219"
2021,"bioblitz","full",23,2021-10-10,15:51:00,"Millpond Park, Elgin Mills, Richmond Hill, ON","water","Vertebrate","Anas platyrhunchos","RA","10.6084/m9.figshare.16807219"
2021,"bioblitz","full",24,2021-10-10,15:52:00,"Millpond Park, Elgin Mills, Richmond Hill, ON","water","Vertebrate","Lepomus macrochirus","RA","10.6084/m9.figshare.16807219"
2021,"bioblitz","full",25,2021-10-10,15:53:00,"Millpond Park, Elgin Mills, Richmond Hill, ON","water","Vertebrate","Pimephales promelas","RA","10.6084/m9.figshare.16807219"
2021,"bioblitz","full",26,2021-10-10,15:55:00,"Millpond Park, Elgin Mills, Richmond Hill, ON","water","Vertebrate","Mephitis mephitis","RA","10.6084/m9.figshare.16807219"
2021,"bioblitz","full",1,2021-10-12,12:50:00,"Backyard 44.044785, -79.299616","grass","Invertebrate","Lasius niger","SI",NA
2021,"bioblitz","full",2,2021-10-12,12:55:00,"Backyard 44.044785, -79.299616","tree","Vertebrate","Sciurius carolinensis","SI",NA
2021,"bioblitz","full",3,2021-10-12,13:02:00,"Backyard 44.044785, -79.299616","tree","Vertebrate","Melospiza melodia","SI",NA
2021,"bioblitz","full",4,2021-10-12,13:06:00,"Backyard 44.044785, -79.299616","grass","Vertebrate","Calleida decora","SI",NA
2021,"bioblitz","full",5,2021-10-12,13:23:00,"Ballantrae Road Patterson Tract 44.040927, -79.312338","tree","Vertebrate","Corvus corax","SI",NA
2021,"bioblitz","full",6,2021-10-12,13:27:00,"Ballantrae Road Patterson Tract 44.040927, -79.312338","tree","Vertebrate","Sciurius carolinensis","SI",NA
2021,"bioblitz","full",7,2021-10-12,13:31:00,"Ballantrae Road Patterson Tract 44.040927, -79.312338","bush","Invertebrate","Lymantria dispar","SI",NA
2021,"bioblitz","full",8,2021-10-12,13:34:00,"Ballantrae Road Patterson Tract 44.040927, -79.312338","grass","Invertebrate","Componotus pennsylvanicus","SI",NA
2021,"bioblitz","full",13,2021-10-12,14:17:00,"Grayfield Drive Patterson Tract 44.039199, -79.308840","tree","Vertebrate","Turdus migratorius","SI",NA
2021,"bioblitz","full",14,2021-10-12,14:20:00,"Grayfield Drive Patterson Tract 44.039199, -79.308840","tree","Vertebrate","Pollenia","SI",NA
2021,"bioblitz","full",15,2021-10-12,14:23:00,"Grayfield Drive Patterson Tract 44.039199, -79.308840","ground","Vertebrate","Branta canadensis","SI",NA
2021,"bioblitz","full",16,2021-10-12,14:27:00,"Grayfield Drive Patterson Tract 44.039199, -79.308840","tree","Invertebrate","Lymantria dispar","SI",NA
2021,"bioblitz","full",9,2021-10-12,13:47:00,"Robert Gray Road Patterson Tract 44.046411, -79.308468","tree","Invertebrate","Lymantria dispar","SI",NA
2021,"bioblitz","full",10,2021-10-12,13:53:00,"Robert Gray Road Patterson Tract 44.046411, -79.308468","tree","Vertebrate","Spinus tristis","SI",NA
