year,experiment,source,rep,date,time,location,habitat,taxa,species,initials
2020,bioblitz,full,29,10/10/2020,20:55,Woodward Woodlot,woodlot,vertebrate,Procyon lotor,JT
2020,bioblitz,pilot,29,9/28/2020,9:11,Black Creek Parkland,water,vertebrate,Anatidae ssp,MC
2020,bioblitz,full,30,10/12/2020,15:18,Backyard,bush,vertebrate,Melospiza melodia,MC
2020,bioblitz,full,30,10/10/2020,21:04,Woodward Woodlot,woodlot,vertebrate,Sylvilagus ssp,JT
2020,bioblitz,pilot,30,9/28/2020,9:11,Black Creek Parkland,water,vertebrate,Anatidae ssp,MC
2020,bioblitz,full,31,10/10/2020,21:15,Woodward Woodlot,woodlot,invertebrate,Culicidae ssp,JT
2020,bioblitz,full,31,10/12/2020,15:18,Backyard,bush,vertebrate,Melospiza melodia,MC
2020,bioblitz,pilot,31,9/28/2020,9:17,Black Creek Parkland,branch,invertebrate,Gastropoda ssp,MC
2020,bioblitz,pilot,31,9/28/2020,9:17,Black Creek Parkland,branch,invertebrate,Gastropoda ssp,MC
2020,bioblitz,pilot,31,9/28/2020,9:17,Black Creek Parkland,branch,invertebrate,Gastropoda ssp,MC
2020,bioblitz,pilot,31,9/28/2020,9:17,Black Creek Parkland,branch,invertebrate,Gastropoda ssp,MC
2020,bioblitz,pilot,31,9/28/2020,9:17,Black Creek Parkland,branch,invertebrate,Gastropoda ssp,MC
2020,bioblitz,pilot,31,9/28/2020,9:17,Black Creek Parkland,branch,invertebrate,Gastropoda ssp,MC
2020,bioblitz,pilot,31,9/28/2020,9:17,Black Creek Parkland,branch,invertebrate,Gastropoda ssp,MC
2020,bioblitz,pilot,31,9/28/2020,9:17,Black Creek Parkland,branch,invertebrate,Gastropoda ssp,MC
2020,bioblitz,pilot,31,9/28/2020,9:17,Black Creek Parkland,branch,invertebrate,Gastropoda ssp,MC
2020,bioblitz,pilot,31,9/28/2020,9:17,Black Creek Parkland,branch,invertebrate,Gastropoda ssp,MC
2020,bioblitz,pilot,31,9/28/2020,9:17,Black Creek Parkland,branch,invertebrate,Gastropoda ssp,MC
2020,bioblitz,pilot,31,9/28/2020,9:17,Black Creek Parkland,branch,invertebrate,Gastropoda ssp,MC
2020,bioblitz,pilot,31,9/28/2020,9:17,Black Creek Parkland,branch,invertebrate,Gastropoda ssp,MC
2020,bioblitz,pilot,31,9/28/2020,9:17,Black Creek Parkland,branch,invertebrate,Gastropoda ssp,MC
2020,bioblitz,pilot,31,9/28/2020,9:17,Black Creek Parkland,branch,invertebrate,Gastropoda ssp,MC
2020,bioblitz,full,32,10/12/2020,15:19,Backyard,flying,invertebrate,Anthophila ssp,MC
2020,bioblitz,full,32,10/10/2020,21:21,Woodward Woodlot,woodlot,invertebrate,Tipulidae ssp,JT
2020,bioblitz,pilot,32,9/28/2020,9:26,Black Creek Parkland,ground,vertebrate,Sciurus carolinensis,MC
2020,bioblitz,full,33,10/11/2020,6:31,Sprucedale Pond,water,vertebrate,Branta canadensis,JT
2020,bioblitz,full,33,10/12/2020,15:21,Backyard,flying,invertebrate,Lepidoptera ssp,MC
2020,bioblitz,full,34,10/11/2020,6:31,Sprucedale Pond,water,vertebrate,Anas platyrhynchos,JT
2020,bioblitz,full,34,10/12/2020,15:25,Backyard,tree,vertebrate,Sciurus carolinensis,MC
2020,bioblitz,full,35,10/11/2020,6:49,Sprucedale Pond,water,Cepaea hortensis,Cepaea nemoralis,JT
2020,bioblitz,full,35,10/12/2020,15:29,Backyard,tree,vertebrate,Spinus tristis,MC
2020,bioblitz,full,36,10/11/2020,7:04,Sprucedale Pond,water,vertebrate,Lithobates sylvaticus,JT
2020,bioblitz,full,36,10/12/2020,15:31,Backyard,ground,vertebrate,Sciurus carolinensis,MC
2020,bioblitz,full,37,10/12/2020,15:31,Backyard,ground,vertebrate,Sciurus carolinensis,MC
2020,bioblitz,full,37,10/11/2020,7:18,Sprucedale Pond,water,vertebrate,Thamnophis sirtalis,JT
2020,bioblitz,full,38,10/11/2020,13:33,Sprucedale Pond,water,invertebrate,Apis mellifera,JT
2020,bioblitz,full,38,10/12/2020,15:36,Backyard,bush,vertebrate,Melospiza melodia,MC
2020,bioblitz,full,39,10/11/2020,13:33,Sprucedale Pond,water,vertebrate,Branta canadensis,JT
2020,bioblitz,full,39,10/12/2020,15:36,Backyard,bush,vertebrate,Melospiza melodia,MC
2020,bioblitz,full,40,10/11/2020,13:34,Sprucedale Pond,water,vertebrate,Anas platyrhynchos,JT
2020,bioblitz,full,40,10/12/2020,15:40,Backyard,flying,vertebrate,Corvus brachyrhynchos,MC
2020,bioblitz,full,41,10/12/2020,15:42,Backyard,tree,vertebrate,Corvus brachyrhynchos,MC
2020,bioblitz,full,41,10/11/2020,13:42,Sprucedale Pond,water,invertebrate,Pieris virginiensis,JT
2020,bioblitz,full,42,10/12/2020,15:46,Frontyard,flying,vertebrate,Larinae ssp,MC
2020,bioblitz,full,42,10/11/2020,13:50,Sprucedale Pond,water,invertebrate,Sympetrum ssp,JT
2020,bioblitz,full,43,10/11/2020,13:57,Sprucedale Pond,water,invertebrate,Erythemis simplicicollis,JT
2020,bioblitz,full,43,10/12/2020,15:50,Frontyard,tree,vertebrate,Poecile atricapillus,MC
2020,bioblitz,full,44,10/11/2020,14:09,Sprucedale Pond,water,vertebrate,Larus delawarensis,JT
2020,bioblitz,full,44,10/12/2020,15:52,Frontyard,tree,vertebrate,Sciurus carolinensis,MC
2020,bioblitz,full,45,10/11/2020,14:26,Sprucedale Pond,water,invertebrate,Apis mellifera,JT
2020,bioblitz,full,45,10/12/2020,15:55,Frontyard,ground,vertebrate,Sciurus carolinensis,MC
2020,bioblitz,full,46,10/11/2020,20:30,Sprucedale Pond,water,vertebrate,Branta canadensis,JT
2020,bioblitz,full,46,10/13/2020,15:56,Frontyard,flying,vertebrate,Larinae ssp,MC
2020,bioblitz,full,47,10/11/2020,20:31,Sprucedale Pond,water,vertebrate,Anas platyrhynchos,JT
2020,bioblitz,full,47,10/13/2020,15:58,Frontyard,ground,invertebrate,Araneae ssp,MC
2020,bioblitz,full,48,10/11/2020,20:37,Sprucedale Pond,water,invertebrate,Macaria ssp,JT
2020,bioblitz,full,48,10/13/2020,16:01,Frontyard,tree,vertebrate,Poecile atricapillus,MC
2020,bioblitz,full,49,10/11/2020,20:43,Sprucedale Pond,water,vertebrate,Lithobates sylvaticus,JT
2020,bioblitz,full,49,10/13/2020,16:01,Frontyard,flying,vertebrate,Poecile atricapillus,MC
2020,bioblitz,full,50,10/11/2020,20:58,Sprucedale Pond,water,vertebrate,Chrysemys picta,JT
2020,bioblitz,full,50,10/13/2020,16:03,Frontyard,flying,vertebrate,Melospiza melodia,MC
2020,bioblitz,full,51,10/13/2020,16:06,Frontyard,ground,invertebrate,Grylloidea ssp,MC
2020,bioblitz,full,51,10/11/2020,21:15,Sprucedale Pond,water,invertebrate,Macaria ssp,JT
2020,bioblitz,full,52,10/13/2020,16:07,Frontyard,flying,vertebrate,Larinae ssp,MC
2020,bioblitz,full,52,10/12/2020,6:34,Dempsey Park,woodlot,vertebrate,Passer domesticus,JT
2020,bioblitz,full,53,10/13/2020,16:10,Backyard,flying,invertebrate,Diptera ssp,MC
2020,bioblitz,full,53,10/12/2020,6:39,Dempsey Park,woodlot,vertebrate,Sciurus carolinensis,JT
2020,bioblitz,full,54,10/13/2020,16:10,Backyard,flying,invertebrate,Diptera ssp,MC
2020,bioblitz,full,54,10/12/2020,6:41,Dempsey Park,woodlot,vertebrate,Turdus migratorius,JT
2020,bioblitz,full,55,10/13/2020,16:10,Backyard,flying,invertebrate,Diptera ssp,MC
2020,bioblitz,full,55,10/12/2020,6:46,Dempsey Park,woodlot,vertebrate,Sciurus carolinensis,JT
2020,bioblitz,full,56,10/12/2020,6:52,Dempsey Park,woodlot,vertebrate,Cardinalis cardinalis,JT
2020,bioblitz,full,56,10/13/2020,16:10,Backyard,flying,invertebrate,Diptera ssp,MC
2020,bioblitz,full,57,10/13/2020,16:10,Backyard,flying,invertebrate,Diptera ssp,MC
2020,bioblitz,full,57,10/12/2020,7:00,Dempsey Park,woodlot,vertebrate,Sylvilagus ssp,JT
2020,bioblitz,full,58,10/13/2020,16:15,Backyard,flying,vertebrate,Corvus brachyrhynchos,MC
2020,bioblitz,full,58,10/12/2020,7:11,Dempsey Park,woodlot,vertebrate,Procyon lotor,JT
2020,bioblitz,full,59,10/13/2020,16:18,Backyard,ground,vertebrate,Sciurus carolinensis,MC
2020,bioblitz,full,59,10/12/2020,7:27,Dempsey Park,woodlot,invertebrate,Tipulidae ssp,JT
2020,bioblitz,full,60,10/13/2020,16:22,Backyard,tree,vertebrate,Sciurus carolinensis,MC
2020,bioblitz,full,60,10/12/2020,13:32,Dempsey Park,woodlot,invertebrate,Vespula alascensis,JT
2020,bioblitz,full,61,10/13/2020,16:28,Backyard,flying,vertebrate,Corvus brachyrhynchos,MC
2020,bioblitz,full,61,10/12/2020,13:35,Dempsey Park,woodlot,vertebrate,Spinus tristis,JT
2020,bioblitz,full,62,10/13/2020,16:37,Backyard,tree,vertebrate,Spinus tristis,MC
2020,bioblitz,full,62,10/12/2020,13:38,Dempsey Park,woodlot,vertebrate,Turdus migratorius,JT
2020,bioblitz,full,63,10/13/2020,16:41,Backyard,tree,vertebrate,Corvus brachyrhynchos,MC
2020,bioblitz,full,63,10/12/2020,13:44,Dempsey Park,woodlot,vertebrate,Sciurus carolinensis,JT
2020,bioblitz,full,64,10/12/2020,13:47,Dempsey Park,woodlot,vertebrate,Dryocopus pileatus,JT
2020,bioblitz,full,64,10/13/2020,16:43,Frontyard,tree,vertebrate,Melospiza melodia,MC
2020,bioblitz,full,65,10/13/2020,16:45,Frontyard,flying,vertebrate,Larinae ssp,MC
2020,bioblitz,full,65,10/12/2020,13:53,Dempsey Park,woodlot,invertebrate,Pieris virginiensis,JT
2020,bioblitz,full,66,10/13/2020,16:52,Frontyard,flying,vertebrate,Corvus brachyrhynchos,MC
2020,bioblitz,full,66,10/12/2020,13:59,Dempsey Park,woodlot,invertebrate,Tipulidae ssp,JT
2020,bioblitz,full,67,10/13/2020,16:52,Frontyard,power line,vertebrate,Corvus brachyrhynchos,MC
2020,bioblitz,full,67,10/12/2020,14:06,Dempsey Park,woodlot,vertebrate,Cyanocitta cristata,JT
2020,bioblitz,full,68,10/12/2020,14:11,Dempsey Park,woodlot,vertebrate,Corvus brachyrhynchos,JT
2020,bioblitz,full,68,10/13/2020,17:00,Frontyard,tree,vertebrate,Sciurus carolinensis,MC
2020,bioblitz,full,69,10/14/2020,14:22,Frontyard,ground,invertebrate,Grylloidea ssp,MC
2020,bioblitz,full,69,10/12/2020,14:15,Dempsey Park,woodlot,invertebrate,Pieris virginiensis,JT
2020,bioblitz,full,70,10/14/2020,14:26,Frontyard,ground,invertebrate,Formicidae ssp,MC
2020,bioblitz,full,70,10/12/2020,14:23,Dempsey Park,woodlot,vertebrate,Sciurus niger,JT
2020,bioblitz,full,71,10/14/2020,14:26,Frontyard,ground,invertebrate,Formicidae ssp,MC
2020,bioblitz,full,71,10/12/2020,14:28,Dempsey Park,woodlot,invertebrate,Malacosoma americanum,JT
2020,bioblitz,full,72,10/14/2020,14:28,Backyard,grass,vertebrate,Melospiza melodia,MC
2020,bioblitz,full,72,10/12/2020,20:36,Dempsey Park,woodlot,vertebrate,Sylvilagus ssp,JT
2020,bioblitz,full,73,10/14/2020,14:28,Backyard,grass,vertebrate,Melospiza melodia,MC
2020,bioblitz,full,73,10/12/2020,20:43,Dempsey Park,woodlot,vertebrate,Procyon lotor,JT
2020,bioblitz,full,74,10/14/2020,14:29,Backyard,flying,vertebrate,Corvus brachyrhynchos,MC
2020,bioblitz,full,74,10/12/2020,20:49,Dempsey Park,woodlot,vertebrate,Mephitis mephitis,JT
2020,bioblitz,full,75,10/14/2020,14:29,Backyard,ground,invertebrate,Anthophila ssp,MC
2020,bioblitz,full,75,10/12/2020,20:51,Dempsey Park,woodlot,invertebrate,Tipulidae ssp,JT
2020,bioblitz,full,76,10/14/2020,14:32,Backyard,flying,vertebrate,Corvus brachyrhynchos,MC
2020,bioblitz,full,76,10/12/2020,20:57,Dempsey Park,woodlot,vertebrate,Lithobates sylvaticus,JT
2020,bioblitz,full,77,10/14/2020,14:34,Backyard,ground,vertebrate,Sciurus carolinensis,MC
2020,bioblitz,full,77,10/12/2020,21:11,Dempsey Park,woodlot,vertebrate,Sylvilagus ssp,JT
2020,bioblitz,full,78,10/12/2020,21:24,Dempsey Park,woodlot,invertebrate,Macaria ssp,JT
2020,bioblitz,full,78,10/14/2020,14:37,Backyard,bush,vertebrate,Melospiza melodia,MC
2020,bioblitz,full,79,10/17/2020,6:32,Woodward Woodlot,woodlot,invertebrate,Araneae ssp,JT
2020,bioblitz,full,79,10/14/2020,14:37,Backyard,bush,vertebrate,Melospiza melodia,MC
2020,bioblitz,full,80,10/14/2020,14:37,Backyard,bush,vertebrate,Melospiza melodia,MC
2020,bioblitz,full,80,10/14/2020,6:35,Woodward Woodlot,woodlot,vertebrate,Passer domesticus,JT
2020,bioblitz,full,81,10/14/2020,14:37,Backyard,bush,vertebrate,Melospiza melodia,MC
2020,bioblitz,full,81,10/14/2020,6:39,Woodward Woodlot,woodlot,vertebrate,Sciurus carolinensis,JT
2020,bioblitz,full,82,10/14/2020,14:37,Backyard,bush,vertebrate,Melospiza melodia,MC
2020,bioblitz,full,82,10/14/2020,6:45,Woodward Woodlot,woodlot,vertebrate,Turdus migratorius,JT
2020,bioblitz,full,83,10/14/2020,6:48,Woodward Woodlot,woodlot,vertebrate,Sciurus carolinensis,JT
2020,bioblitz,full,83,10/14/2020,14:39,Backyard,tree,vertebrate,Turdus migratorius,MC
2020,bioblitz,full,84,10/14/2020,6:57,Woodward Woodlot,woodlot,invertebrate,Pieris virginiensis,JT
2020,bioblitz,full,84,10/14/2020,14:39,Backyard,tree,vertebrate,Turdus migratorius,MC
2020,bioblitz,full,85,10/14/2020,14:41,Backyard,flying,invertebrate,Diptera ssp,MC
2020,bioblitz,full,85,10/14/2020,7:06,Woodward Woodlot,woodlot,vertebrate,Sciurus niger,JT
2020,bioblitz,full,86,10/14/2020,7:11,Woodward Woodlot,woodlot,vertebrate,Corvus brachyrhynchos,JT
2020,bioblitz,full,86,10/14/2020,14:43,Backyard,flying,invertebrate,Lepidoptera ssp,MC
2020,bioblitz,full,87,10/14/2020,14:47,Backyard,ground,vertebrate,Sciurus carolinensis,MC
2020,bioblitz,full,87,10/14/2020,7:17,Woodward Woodlot,woodlot,invertebrate,Tipulidae ssp,JT
2020,bioblitz,full,88,10/14/2020,14:47,Backyard,ground,vertebrate,Sciurus carolinensis,MC
2020,bioblitz,full,88,10/14/2020,7:22,Woodward Woodlot,woodlot,vertebrate,Sylvilagus ssp,JT
2020,bioblitz,full,89,10/14/2020,7:25,Woodward Woodlot,woodlot,invertebrate,Oniscidea ssp,JT
2020,bioblitz,full,89,10/14/2020,14:51,Frontyard,tree,vertebrate,Poecile atricapillus,MC
