year,experiment,source,rep,date,location,species,frequency,behaviour,inititals
2020,balcony birdwatching,full,1,10/13/2020,Holditch Street,Poecile atricapillus,1,perching,RD
2020,balcony birdwatching,full,1,10/13/2020,Holditch Street,Corvus brachyrhynchos,1,perching,RD
2020,balcony birdwatching,full,1,10/13/2020,Holditch Street,Quiscalus quiscula,1,perching,RD
2020,balcony birdwatching,full,1,10/13/2020,Holditch Street,Corvus brachyrhynchos,1,perching,RD
2020,balcony birdwatching,full,1,10/13/2020,Holditch Street,Poecile atricapillus,2,perching,RD
2020,balcony birdwatching,full,1,10/13/2020,Holditch Street,Turdus migratorius,1,perching,RD
2020,balcony birdwatching,full,1,10/13/2020,Holditch Street,Quiscalus quiscula,1,perching,RD
2020,balcony birdwatching,full,1,10/13/2020,Holditch Street,Spinus tristis,2,perching,RD
2020,balcony birdwatching,full,1,10/14/2020,Holditch Street,Poecile atricapillus,2,perching,RD
2020,balcony birdwatching,full,1,10/14/2020,Holditch Street,Poecile atricapillus,1,perching,RD
2020,balcony birdwatching,full,1,10/14/2020,Holditch Street,Turdus migratorius,1,perching,RD
2020,balcony birdwatching,full,1,10/14/2020,Holditch Street,Poecile atricapillus,1,perching,RD
2020,balcony birdwatching,full,1,10/14/2020,Holditch Street,Quiscalus quiscula,1,perching,RD
2020,balcony birdwatching,full,1,10/14/2020,Holditch Street,Poecile atricapillus,1,perching,RD
2020,balcony birdwatching,full,1,10/14/2020,Holditch Street,Cyanocitta cristata,1,perching,RD
2020,balcony birdwatching,full,1,10/14/2020,Holditch Street,Catharus guttatus,1,perching,RD
2020,balcony birdwatching,full,1,10/18/2020,Fred Young Park,Poecile atricapillus,1,perching,RD
2020,balcony birdwatching,full,1,10/18/2020,Fred Young Park,Turdus migratorius,1,perching,RD
2020,balcony birdwatching,full,1,10/18/2020,Fred Young Park,Molothrus ater,1,perching,RD
2020,balcony birdwatching,full,1,10/18/2020,Fred Young Park,Poecile atricapillus,3,perching,RD
2020,balcony birdwatching,full,1,10/18/2020,Fred Young Park,Poecile atricapillus,2,perching,RD
2020,balcony birdwatching,full,1,10/18/2020,Fred Young Park,Cyanocitta cristata,1,perching,RD
2020,balcony birdwatching,full,1,10/18/2020,Fred Young Park,Poecile atricapillus,2,perching,RD
2020,balcony birdwatching,full,1,10/19/2020,Fred Young Park,Turdus migratorius,2,perching,RD
2020,balcony birdwatching,full,1,10/19/2020,Fred Young Park,Passer domesticus,4,perching,RD
2020,balcony birdwatching,full,1,10/19/2020,Fred Young Park,Passer domesticus,6,perching,RD
2020,balcony birdwatching,full,1,10/19/2020,Fred Young Park,Passer domesticus,1,perching,RD
2020,balcony birdwatching,full,1,10/19/2020,Fred Young Park,Turdus migratorius,1,perching,RD
2020,balcony birdwatching,full,1,10/19/2020,Fred Young Park,Passer domesticus,7,perching,RD
2020,balcony birdwatching,full,1,10/19/2020,Fred Young Park,Poecile atricapillus,2,perching,RD
2020,balcony birdwatching,full,1,10/20/2020,Fred Young Park,Poecile atricapillus,2,perching,RD
2020,balcony birdwatching,full,1,10/20/2020,Fred Young Park,Passer domesticus,1,perching,RD
2020,balcony birdwatching,full,1,10/20/2020,Fred Young Park,Poecile atricapillus,1,perching,RD
2020,balcony birdwatching,full,1,10/20/2020,Fred Young Park,Turdus migratorius,1,perching,RD
2020,balcony birdwatching,full,1,10/20/2020,Fred Young Park,Passer domesticus,1,perching,RD
2020,balcony birdwatching,full,1,10/20/2020,Fred Young Park,Poecile atricapillus,2,perching,RD
2020,balcony birdwatching,full,1,10/20/2020,Fred Young Park,Poecile atricapillus,3,perching,RD
2020,balcony birdwatching,full,1,10/20/2020,Fred Young Park,Turdus migratorius,1,perching,RD
2020,balcony birdwatching,full,1,10/20/2020,Fred Young Park,Passer domesticus,1,perching,RD
2020,balcony birdwatching,full,1,10/20/2020,Fred Young Park,Passer domesticus,2,perching,RD
2020,balcony birdwatching,full,1,10/20/2020,Fred Young Park,Poecile atricapillus,2,perching,RD
2020,balcony birdwatching,full,1,10/20/2020,Fred Young Park,Poecile atricapillus,1,perching,RD
2020,balcony birdwatching,full,1,10/15/2020,800 Bancroft Dr,Larus argentatus,12,none,YM
2020,balcony birdwatching,full,1,10/16/2020,"Barrie, ON",none,2,none,AE
2020,balcony birdwatching,full,1,10/20/2020,Bathurst State Park,none,2,none,SR
2020,balcony birdwatching,full,1,10/20/2020,Coonnie Cres,none,0,none,SR
2020,balcony birdwatching,full,1,10/12/2020,"High Park, Toronto",none,3,none,AA
2020,balcony birdwatching,full,1,10/09/2020,Vaughan,Anas platyrhynchos,3,inactive,TA
2020,balcony birdwatching,full,1,10/09/2020,Vaughan,Anas platyrhynchos,2,inactive,TA
2020,balcony birdwatching,full,1,10/09/2020,Vaughan,Phalacrocorax auritus,10,inactive,TA
2020,balcony birdwatching,full,1,10/09/2020,Vaughan,Anas platyrhynchos,3,inactive,TA
2020,balcony birdwatching,full,1,10/09/2020,Vaughan,Anas platyrhynchos,3,inactive,TA
2020,balcony birdwatching,full,1,10/09/2020,Vaughan,Anas platyrhynchos,2,inactive,TA
2020,balcony birdwatching,full,1,10/09/2020,Vaughan,Anas platyrhynchos,5,inactive,TA
2020,balcony birdwatching,full,1,10/09/2020,Vaughan,Phalacrocorax auritus,1,inactive,TA
2020,balcony birdwatching,full,1,10/09/2020,Vaughan,Anas platyrhynchos,4,inactive,TA
2020,balcony birdwatching,full,1,10/9/2020,Mackenzie Glen Park,Anas platyrhynchos,8,inactive,AG
2020,balcony birdwatching,full,1,10/21/2020,Humber Ravine,Passer domesticus,4,foraging,EO
2020,balcony birdwatching,full,1,10/5/2020,"Brampton, ON",Cyanocitta cristata,2,foraging,KB
2020,balcony birdwatching,full,1,10/08/2020,Fred Young Park,Passer domesticus,1,foraging,RD
2020,balcony birdwatching,full,1,10/08/2020,Fred Young Park,Turdus migratorius,1,foraging,RD
2020,balcony birdwatching,full,1,10/08/2020,Fred Young Park,Cardinalis cardinalis,1,foraging,RD
2020,balcony birdwatching,full,1,10/08/2020,Fred Young Park,Turdus migratorius,2,foraging,RD
2020,balcony birdwatching,full,1,10/12/2020,Holditch Street,Cyanocitta cristata,1,foraging,RD
2020,balcony birdwatching,full,1,10/12/2020,Holditch Street,Turdus migratorius,2,foraging,RD
2020,balcony birdwatching,full,1,10/12/2020,Holditch Street,Turdus migratorius,1,foraging,RD
2020,balcony birdwatching,full,1,10/12/2020,Holditch Street,Turdus migratorius,1,foraging,RD
2020,balcony birdwatching,full,1,10/13/2020,Holditch Street,Turdus migratorius,1,foraging,RD
2020,balcony birdwatching,full,1,10/13/2020,Holditch Street,Passer domesticus,3,foraging,RD
2020,balcony birdwatching,full,1,10/13/2020,Holditch Street,Zenaida macroura,2,foraging,RD
2020,balcony birdwatching,full,1,10/14/2020,Holditch Street,Turdus migratorius,1,foraging,RD
2020,balcony birdwatching,full,1,10/14/2020,Holditch Street,Passer domesticus,2,foraging,RD
2020,balcony birdwatching,full,1,10/14/2020,Holditch Street,Cyanocitta cristata,1,foraging,RD
2020,balcony birdwatching,full,1,10/08/2020,Fred Young Park,Passer domesticus,2,flying,RD
2020,balcony birdwatching,full,1,10/08/2020,Fred Young Park,Larus delawarensis,1,flying,RD
2020,balcony birdwatching,full,1,10/08/2020,Fred Young Park,Turdus migratorius,1,flying,RD
2020,balcony birdwatching,full,1,10/09/2020,Holditch Street,Cyanocitta cristata,1,flying,RD
2020,balcony birdwatching,full,1,10/09/2020,Holditch Street,Poecile atricapillus,2,flying,RD
2020,balcony birdwatching,full,1,10/09/2020,Holditch Street,Poecile atricapillus,1,flying,RD
2020,balcony birdwatching,full,1,10/09/2020,Holditch Street,Corvus brachyrhynchos,1,flying,RD
2020,balcony birdwatching,full,1,10/12/2020,Holditch Street,Cyanocitta cristata,1,flying,RD
2020,balcony birdwatching,full,1,10/12/2020,Holditch Street,Quiscalus quiscula,1,flying,RD
2020,balcony birdwatching,full,1,10/12/2020,Holditch Street,Poecile atricapillus,1,flying,RD
2020,balcony birdwatching,full,1,10/13/2020,Holditch Street,Corvus brachyrhynchos,1,flying,RD
2020,balcony birdwatching,full,1,10/13/2020,Holditch Street,Larus delawarensis,1,flying,RD
2020,balcony birdwatching,full,1,10/13/2020,Holditch Street,Agelaius phoeniceus,4,flying,RD
2020,balcony birdwatching,full,1,10/13/2020,Holditch Street,Agelaius phoeniceus,3,flying,RD
2020,balcony birdwatching,full,1,10/13/2020,Holditch Street,Cyanocitta cristata,1,flying,RD
2020,balcony birdwatching,full,1,10/13/2020,Holditch Street,Corvus brachyrhynchos,1,flying,RD
2020,balcony birdwatching,full,1,10/13/2020,Holditch Street,Turdus migratorius,2,flying,RD
2020,balcony birdwatching,full,1,10/14/2020,Holditch Street,Poecile atricapillus,2,flying,RD
2020,balcony birdwatching,full,1,10/14/2020,Holditch Street,Cyanocitta cristata,1,flying,RD
2020,balcony birdwatching,full,1,10/14/2020,Holditch Street,Cyanocitta cristata,1,flying,RD
2020,balcony birdwatching,full,1,10/14/2020,Holditch Street,Catharus guttatus,1,flying,RD
2020,balcony birdwatching,full,1,10/14/2020,Holditch Street,Corvus brachyrhynchos,1,flying,RD
2020,balcony birdwatching,full,1,10/18/2020,Fred Young Park,Passer domesticus,2,flying,RD
2020,balcony birdwatching,full,1,10/18/2020,Fred Young Park,Passer domesticus,4,flying,RD
2020,balcony birdwatching,full,1,10/18/2020,Fred Young Park,Poecile atricapillus,2,flying,RD
2020,balcony birdwatching,full,1,10/18/2020,Fred Young Park,Turdus migratorius,2,flying,RD
2020,balcony birdwatching,full,1,10/18/2020,Fred Young Park,Corvus brachyrhynchos,1,flying,RD
2020,balcony birdwatching,full,1,10/19/2020,Fred Young Park,Poecile atricapillus,2,flying,RD
2020,balcony birdwatching,full,1,10/19/2020,Fred Young Park,Poecile atricapillus,1,flying,RD
2020,balcony birdwatching,full,1,10/19/2020,Fred Young Park,Molothrus ater,1,flying,RD
2020,balcony birdwatching,full,1,10/19/2020,Fred Young Park,Corvus brachyrhynchos,2,flying,RD
2020,balcony birdwatching,full,1,10/19/2020,Fred Young Park,Passer domesticus,3,flying,RD
2020,balcony birdwatching,full,1,10/20/2020,Fred Young Park,Passer domesticus,3,flying,RD
2020,balcony birdwatching,full,1,10/20/2020,Fred Young Park,Larus delawarensis,1,flying,RD
2020,balcony birdwatching,full,1,10/20/2020,Fred Young Park,Corvus brachyrhynchos,1,flying,RD
2020,balcony birdwatching,full,1,10/09/2020,Vaughan,Anas platyrhynchos,9,flying,TA
2020,balcony birdwatching,full,1,10/09/2020,Vaughan,Anas platyrhynchos,10,flying,TA
2020,balcony birdwatching,full,1,10/09/2020,Vaughan,Anas platyrhynchos,6,flying,TA
2020,balcony birdwatching,full,1,10/09/2020,Vaughan,Anas platyrhynchos,4,flying,TA
2020,balcony birdwatching,full,1,10/09/2020,Vaughan,Branta canadensis,15,flying,TA
2020,balcony birdwatching,pilot,1,9/25/2020,"Davos & Pinevalley Pond, Vaughan",Anas platyrhynchos,6,walking,TA
2020,balcony birdwatching,pilot,1,9/18/2020,Mackenzie Glen Park,Anas platyrhynchos,15,swimming,AG
2020,balcony birdwatching,pilot,1,9/17/2020,"Gardenbrook Trail, north entrance",Anas platyrhynchos,7,swimming,NJ
2020,balcony birdwatching,pilot,1,09/19/2020,Holditch St Bracebridge ON,Poecile atricapillus,1,swimming,RD
2020,balcony birdwatching,pilot,1,9/23/2020,"Barrie, ON",Poecile atricapillus,19,perching,AE
2020,balcony birdwatching,pilot,1,09/22/2020,East Don Parkland,Poecile atricapillus,1,perching,JY
2020,balcony birdwatching,pilot,1,09/19/2020,Holditch St Bracebridge ON,Poecile atricapillus,1,perching,RD
2020,balcony birdwatching,pilot,1,09/19/2020,Holditch St Bracebridge ON,Cardinalis cardinalis,1,perching,RD
2020,balcony birdwatching,pilot,1,09/19/2020,Holditch St Bracebridge ON,Poecile atricapillus,1,perching,RD
2020,balcony birdwatching,pilot,1,09/18/2020,Bathurst State Park,Blue Jay,4,intraspecific interaction,SR
2020,balcony birdwatching,pilot,1,09/23/2020,Bathurst State Park,Rose-breasted grosbeak,3,intraspecific interaction,SR
2020,balcony birdwatching,pilot,1,9/26/2020,High Park,Dryobates pubescens,2,foraging,AB
2020,balcony birdwatching,pilot,1,09/19/2020,Holditch St Bracebridge ON,Turdus migratorius,1,foraging,RD
2020,balcony birdwatching,pilot,1,09/19/2020,Holditch St Bracebridge ON,Poecile atricapillus,1,foraging,RD
2020,balcony birdwatching,pilot,1,09/19/2020,Holditch St Bracebridge ON,Poecile atricapillus,1,foraging,RD
2020,balcony birdwatching,pilot,1,09/19/2020,Holditch St Bracebridge ON,Poecile atricapillus,1,foraging,RD
2020,balcony birdwatching,pilot,1,09/19/2020,Holditch St Bracebridge ON,Poecile atricapillus,1,foraging,RD
2020,balcony birdwatching,pilot,1,09/19/2020,Holditch St Bracebridge ON,Poecile atricapillus,1,foraging,RD
2020,balcony birdwatching,pilot,1,09/19/2020,Holditch St Bracebridge ON,Poecile atricapillus,1,foraging,RD
2020,balcony birdwatching,pilot,1,09/19/2020,Holditch St Bracebridge ON,Cyanocitta cristata,1,foraging,RD
2020,balcony birdwatching,pilot,1,09/19/2020,Holditch St Bracebridge ON,Zenaida macroura,2,foraging,RD
2020,balcony birdwatching,pilot,1,09/19/2020,Holditch St Bracebridge ON,Turdus migratorius,1,foraging,RD
2020,balcony birdwatching,pilot,1,09/19/2020,Holditch St Bracebridge ON,Poecile atricapillus,1,foraging,RD
2020,balcony birdwatching,pilot,1,09/19/2020,Holditch St Bracebridge ON,Passer domesticus,1,foraging,RD
2020,balcony birdwatching,pilot,1,09/19/2020,Holditch St Bracebridge ON,Poecile atricapillus,1,foraging,RD
2020,balcony birdwatching,pilot,1,09/19/2020,Holditch St Bracebridge ON,Cyanocitta cristata,1,foraging,RD
2020,balcony birdwatching,pilot,1,09/18/2020,,Heron,2,foraging,EW
2020,balcony birdwatching,pilot,1,09/23/20,Humber ravine,house sparrow,3,foraging,EO
2020,balcony birdwatching,pilot,1,09/19/2020,Holditch St Bracebridge ON,Turdus migratorius,1,flying,RD
2020,balcony birdwatching,pilot,1,09/19/2020,Holditch St Bracebridge ON,Zenaida macroura,1,flying,RD
2020,balcony birdwatching,pilot,1,09/19/2020,Holditch St Bracebridge ON,Zenaida macroura,1,flying,RD
2020,balcony birdwatching,pilot,1,09/19/2020,Holditch St Bracebridge ON,Zenaida macroura,1,flying,RD
2020,balcony birdwatching,pilot,1,09/19/2020,Holditch St Bracebridge ON,Zenaida macroura,7,flying,RD
2020,balcony birdwatching,pilot,1,09/19/2020,Holditch St Bracebridge ON,Poecile atricapillus,1,flying,RD
2020,balcony birdwatching,pilot,1,09/19/2020,Holditch St Bracebridge ON,Corvus brachyrhynchos,1,flying,RD
2020,balcony birdwatching,pilot,1,09/19/2020,Holditch St Bracebridge ON,Larus argentatus,1,flying,RD
2020,balcony birdwatching,pilot,1,09/19/2020,Holditch St Bracebridge ON,Corvus brachyrhynchos,1,flying,RD
2020,balcony birdwatching,pilot,1,09/19/2020,Holditch St Bracebridge ON,Dryocopus pileatus,1,flying,RD
2020,balcony birdwatching,pilot,1,09/16/2020,Bathurst State Park,House Sparrow,14,flying,SR
2020,balcony birdwatching,pilot,1,09/23/2020,Bathurst State Park,Tree swallow,5,flying,SR
2020,balcony birdwatching,full,2,10/9/2020,Mackenzie Glen Park,Anas platyrhynchos,21,swimming,AG
2020,balcony birdwatching,full,2,10/16/2020,High Park,Anas platyrhynchos,9,swimming,AB
2020,balcony birdwatching,full,2,10/13/2020,Cityview pond,Unknown Sitta,3,perching,EW
2020,balcony birdwatching,full,2,10/5/2020,"Brampton, ON",Picoides pubescens,5,perching,KB
2020,balcony birdwatching,full,2,10/16/2020,800 Bancroft Dr,Larus argentatus,9,none,YM
2020,balcony birdwatching,full,2,10/16/2020,"Barrie, ON",none,1,none,AE
2020,balcony birdwatching,full,2,10/14/2020,Bathurst State Park,none,4,none,SR
2020,balcony birdwatching,full,2,10/20/2020,Bathurst State Park,none,2,none,SR
2020,balcony birdwatching,full,2,10/14/2020,Coonnie Cres,none,0,none,SR
2020,balcony birdwatching,full,2,10/20/2020,Coonnie Cres,none,3,none,SR
2020,balcony birdwatching,full,2,10/16/2020,"High Park, Toronto",none,4,none,AA
2020,balcony birdwatching,full,2,9/25/2020,Bellchase Lake,Ardea herodias,1,inactive,NJ
2020,balcony birdwatching,full,2,10/10/2020,Vaughan,Anas platyrhynchos,4,inactive,TA
2020,balcony birdwatching,full,2,10/10/2020,Vaughan,Anas platyrhynchos,2,inactive,TA
2020,balcony birdwatching,full,2,10/10/2020,Vaughan,Anas platyrhynchos,5,inactive,TA
2020,balcony birdwatching,full,2,10/10/2020,Vaughan,Phalacrocorax auritus,2,inactive,TA
2020,balcony birdwatching,full,2,10/10/2020,Vaughan,Anas platyrhynchos,6,inactive,TA
2020,balcony birdwatching,full,2,10/10/2020,Vaughan,Anas platyrhynchos,2,inactive,TA
2020,balcony birdwatching,full,2,10/10/2020,Vaughan,Anas platyrhynchos,2,inactive,TA
2020,balcony birdwatching,full,2,10/10/2020,Vaughan,Anas platyrhynchos,3,inactive,TA
2020,balcony birdwatching,full,2,10/10/2020,Vaughan,Branta canadensis,6,inactive,TA
2020,balcony birdwatching,full,2,10/21/2020,Humber Ravine,Anas platyrhynchos,1,flying,EO
2020,balcony birdwatching,full,2,10/10/2020,Vaughan,Anas platyrhynchos,8,flying,TA
2020,balcony birdwatching,full,2,10/10/2020,Vaughan,Anas platyrhynchos,2,flying,TA
2020,balcony birdwatching,full,2,10/10/2020,Vaughan,Anas platyrhynchos,5,flying,TA
2020,balcony birdwatching,full,2,10/10/2020,Vaughan,Anas platyrhynchos,5,flying,TA
2020,balcony birdwatching,full,2,10/10/2020,Vaughan,Branta canadensis,10,flying,TA
2020,balcony birdwatching,full,2,10/10/2020,Vaughan,Branta canadensis,10,flying,TA
2020,balcony birdwatching,pilot,2,9/18/2020,Mackenzie Glen Park,Branta canadensis,18,swimming,AG
2020,balcony birdwatching,pilot,2,9/17/2020,"Gardenbrook Trail, north entrance",Branta canadensis,11,swimming,NJ
2020,balcony birdwatching,pilot,2,9/23/2020,"Barrie, ON",Columba livia,1,perching,AE
2020,balcony birdwatching,pilot,2,09/23/2020,"Bowsfield Rd, Toronto",Passer domesticus,3,perching,RD
2020,balcony birdwatching,pilot,2,09/23/2020,"Bowsfield Rd, Toronto",Poecile atricapillus,2,perching,RD
2020,balcony birdwatching,pilot,2,09/23/2020,"Bowsfield Rd, Toronto",Catharus ustulatus,1,perching,RD
2020,balcony birdwatching,pilot,2,09/23/2020,"Bowsfield Rd, Toronto",Passer domesticus,2,perching,RD
2020,balcony birdwatching,pilot,2,09/23/2020,"Bowsfield Rd, Toronto",Catharus ustulatus,3,perching,RD
2020,balcony birdwatching,pilot,2,9/25/2020,"Davos & Pinevalley Pond, Vaughan",Anas platyrhynchos,4,inactive,TA
2020,balcony birdwatching,pilot,2,09/18/2020,,Black Capped Chickadee,7,foraging,EW
2020,balcony birdwatching,pilot,2,09/23/2020,11 Calvin Ave,Cardinalis cardinalis,1,foraging,JY
2020,balcony birdwatching,pilot,2,09/23/2020,11 Calvin Ave,Melospiza melodia,3,foraging,JY
2020,balcony birdwatching,pilot,2,09/23/20,Humber ravine,blue jay,2,foraging,EO
2020,balcony birdwatching,pilot,2,9/26/2020,High Park,Dryobates pubescens,3,flying,AB
2020,balcony birdwatching,pilot,2,09/23/2020,"Bowsfield Rd, Toronto",Passer domesticus,7,flying,RD
2020,balcony birdwatching,pilot,2,09/23/2020,"Bowsfield Rd, Toronto",Passer domesticus,3,flying,RD
2020,balcony birdwatching,pilot,2,09/23/2020,"Bowsfield Rd, Toronto",Passer domesticus,4,flying,RD
2020,balcony birdwatching,pilot,2,09/23/2020,"Bowsfield Rd, Toronto",Larus delawarensis,1,flying,RD
2020,balcony birdwatching,pilot,2,09/16/2020,Bathurst State Park,Mourning dove,3,perching,SR
2020,balcony birdwatching,pilot,2,09/18/2020,Bathurst State Park,Common yellowthroat,1,perching,SR
2020,balcony birdwatching,pilot,2,09/23/2020,Bathurst State Park,Cedar waxwing,1,perching,SR
2020,balcony birdwatching,pilot,2,09/27/2020,Bathurst State Park,House Sparrow,13,flying,SR
2020,balcony birdwatching,full,3,10/13/2020,Cityview pond,Troglodytes aedon,5,perching,EW
2020,balcony birdwatching,full,3,10/17/2020,800 Bancroft Dr,Larus argentatus,14,none,YM
2020,balcony birdwatching,full,3,10/16/2020,"Barrie, ON",none,4,none,AE
2020,balcony birdwatching,full,3,10/14/2020,Bathurst State Park,none,1,none,SR
2020,balcony birdwatching,full,3,10/20/2020,Bathurst State Park,none,3,none,SR
2020,balcony birdwatching,full,3,10/14/2020,Coonnie Cres,none,2,none,SR
2020,balcony birdwatching,full,3,10/20/2020,Coonnie Cres,none,6,none,SR
2020,balcony birdwatching,full,3,10/17/2020,"High Park, Toronto",none,1,none,AA
2020,balcony birdwatching,full,3,10/5/2020,"Brampton, ON",Anas platyrhynchos,6,inactive,KB
2020,balcony birdwatching,full,3,10/11/2020,Vaughan,Anas platyrhynchos,2,inactive,TA
2020,balcony birdwatching,full,3,10/11/2020,Vaughan,Anas platyrhynchos,2,inactive,TA
2020,balcony birdwatching,full,3,10/11/2020,Vaughan,Branta canadensis,8,inactive,TA
2020,balcony birdwatching,full,3,10/11/2020,Vaughan,Anas platyrhynchos,4,inactive,TA
2020,balcony birdwatching,full,3,10/11/2020,Vaughan,Anas platyrhynchos,2,inactive,TA
2020,balcony birdwatching,full,3,10/11/2020,Vaughan,Anas platyrhynchos,3,inactive,TA
2020,balcony birdwatching,full,3,10/11/2020,Vaughan,Anas platyrhynchos,2,inactive,TA
2020,balcony birdwatching,full,3,10/16/2020,High Park,Anas platyrhynchos,2,inactive,AB
2020,balcony birdwatching,full,3,10/21/2020,Humber Ravine,Branta canadensis,3,foraging,EO
2020,balcony birdwatching,full,3,10/11/2020,Vaughan,Anas platyrhynchos,3,foraging,TA
2020,balcony birdwatching,full,3,10/9/2020,Mackenzie Glen Park,Branta canadensis,23,foraging,AG
2020,balcony birdwatching,full,3,9/27/2020,Castleoaks Lake,Branta canadensis,30,flying,NJ
2020,balcony birdwatching,full,3,10/11/2020,Vaughan,Anas platyrhynchos,10,flying,TA
2020,balcony birdwatching,full,3,10/11/2020,Vaughan,Anas platyrhynchos,5,flying,TA
2020,balcony birdwatching,full,3,10/11/2020,Vaughan,Branta canadensis,10,flying,TA
2020,balcony birdwatching,full,3,10/11/2020,Vaughan,Branta canadensis,10,flying,TA
2020,balcony birdwatching,full,3,10/11/2020,Vaughan,Branta canadensis,10,flying,TA
2020,balcony birdwatching,pilot,3,09/26/2020,Osgoode Hall Park Toronto ON,Columba livia,2,walking,RD
2020,balcony birdwatching,pilot,3,09/23/2020,Bathurst State Park,Wood thrush,2,walking,SR
2020,balcony birdwatching,pilot,3,09/23/20,Humber ravine,grackle,1,vocalizing,EO
2020,balcony birdwatching,pilot,3,09/16/2020,Bathurst State Park,Common Grackle,1,sitting,SR
2020,balcony birdwatching,pilot,3,09/26/2020,Osgoode Hall Park Toronto ON,Passer domesticus,1,perching,RD
2020,balcony birdwatching,pilot,3,09/18/2020,,Redwing Black Birds,1,perching,EW
2020,balcony birdwatching,pilot,3,09/27/2020,Bathurst State Park,Downy Woodpecker,2,intraspecific interaction,SR
2020,balcony birdwatching,pilot,3,9/23/2020,"Barrie, ON",Poecile atricapillus,9,foraging,AE
2020,balcony birdwatching,pilot,3,09/24/2020,York University,Branta canadensis,18,foraging,JY
2020,balcony birdwatching,pilot,3,09/24/2020,York University,Melospiza melodia,6,foraging,JY
2020,balcony birdwatching,pilot,3,9/17/2020,"Gardenbrook Trail, north entrance",Unknown Larinae,17,foraging,NJ
2020,balcony birdwatching,pilot,3,09/26/2020,Osgoode Hall Park Toronto ON,Columba livia,2,foraging,RD
2020,balcony birdwatching,pilot,3,09/26/2020,Osgoode Hall Park Toronto ON,Columba livia,3,foraging,RD
2020,balcony birdwatching,pilot,3,09/26/2020,Osgoode Hall Park Toronto ON,Columba livia,2,foraging,RD
2020,balcony birdwatching,pilot,3,09/26/2020,Osgoode Hall Park Toronto ON,Passer domesticus,4,foraging,RD
2020,balcony birdwatching,pilot,3,9/25/2020,"Davos & Pinevalley Pond, Vaughan",Anas platyrhynchos,8,foraging,TA
2020,balcony birdwatching,pilot,3,09/18/2020,Bathurst State Park,Black-capped chickadee,3,foraging,SR
2020,balcony birdwatching,pilot,3,9/18/2020,Mackenzie Glen Park,Branta canadensis,2,flying,AG
2020,balcony birdwatching,pilot,3,9/26/2020,High Park,Unknown Larinae,5,flying,AB
2020,balcony birdwatching,pilot,3,09/26/2020,Osgoode Hall Park Toronto ON,Passer domesticus,1,flying,RD
2020,balcony birdwatching,pilot,3,09/26/2020,Osgoode Hall Park Toronto ON,Passer domesticus,1,flying,RD
2020,balcony birdwatching,full,4,10/21/2020,Humber Ravine,Anas platyrhynchos,3,swimming,EO
2020,balcony birdwatching,full,4,10/9/2020,Mackenzie Glen Park,Branta canadensis,7,swimming,AG
2020,balcony birdwatching,full,4,10/15/2020,6039 Erin Mills Pkwy,Larus argentatus,11,none,YM
